"The Merry Meeple  ·  Game Library  ·  1086 Fulton Street, Bed-Stuy, Brooklyn",,,,,,,,,,,
348 titles  ·  BGG data matched for 224 titles  ·  MSRP & Street Price approximate — verify before ordering  ·  ★ = NYC/Brooklyn theme,,,,,,,,,,,
#,Game Name,Category,NYC,BGG Rank,Rating,Weight,Why We're Stocking It,Staff Notes,Distributor,MSRP ($),Street (~$)
229,Deception: Murder in Hong Kong,Social Deduction,,289,7.42,1.6,The forensic scientist gives clues about the murder weapon and means. 4–12 in 20 minutes. Distinct from werewolf-style games. High-priority addition.,Murder-mystery social deduction; elegant forensic mechanic,Alliance Game Distributors,$39.99,$32.99
230,Istanbul,Social Deduction,,,,,Pure logic puzzle presented as a murder mystery. Plays 2–8. Quieter social deduction for groups who prefer logic over bluffing.,Logical deduction murder mystery; no luck,Alliance Game Distributors,$24.99,$19.99
231,Insider,Social Deduction,,,,,One player secretly knows the answer and guides the group. 4–8 in 15 minutes. Oink Games at its most subversive.,Hidden questioner guides a group quiz,Publisher Direct,$19.99,$15.99
232,Mafia de Cuba,Social Deduction,,,,,The box travels around the table — players secretly take diamonds or roles. 6–12 in 30 minutes. Very visual and physical social deduction.,Box-passing hidden role game; intuitive and physical,Asmodee USA Direct,$24.99,$19.99
233,Mysterium Park,Social Deduction,,,,,Lighter Mysterium set at a travelling fair. Dream-card communication. Plays 2–6 in 30 minutes. Cooperative social deduction feel.,Ghost-communication cooperative mystery,Asmodee USA Direct,$24.99,$19.99
234,One Night Ultimate Werewolf,Social Deduction,,679,7.03,1.4,"Plays 3–10 in under 10 minutes via app narration. No elimination, fast reset, can be replayed back-to-back. Perfect for groups looking for a quick hit.",10-minute social deduction; ideal warm-up,Alliance Game Distributors,$24.99,$19.99
235,Saboteur,Social Deduction,,,,,Good guys dig for gold while saboteurs secretly block tunnels. 3–10 in 30 minutes. Gentler introduction to hidden-role mechanics.,Hidden-role tunnel digging; accessible introduction,Alliance Game Distributors,$14.99,$11.99
236,Secret Hitler,Social Deduction,,264,7.49,1.7,"One of the most-played tabletop games ever. 5–10 players, 45–75 minutes. Easy to teach, generates intense table drama. Works for both gamers and non-gamers.",Accessible hidden-role for 5–10 players; essential,Alliance Game Distributors,$35.00,$29.99
237,Samurai,Social Deduction,,,,,Players hold secret loyalty cards while dueling with samurai actions. 3–7 in 45 minutes. Strong theme integration with social mechanics.,Hidden loyalty samurai battle card game,Alliance Game Distributors,$29.99,$23.99
238,Shadows: Amsterdam,Social Deduction,,,,,Two teams race to identify locations using gesture cards. Real-time and silent. 4–8 in 15 minutes. Very different from standard social deduction.,Real-time cooperative deduction; gesture communication,Alliance Game Distributors,$39.99,$31.99
239,Sheriff of Nottingham,Social Deduction,,609,7.05,1.7,Players try to sneak contraband past the Sheriff. 3–5 in 45–60 minutes. Lighter bluffing game accessible to non-social-deduction players.,Bluffing at a medieval market; negotiation focus,Asmodee USA Direct,$49.99,$39.99
240,Spyfall 2,Social Deduction,,,,,Expanded version with more locations and support for up to 12 players. Good complement to original Spyfall for larger groups.,Location-based social deduction; expanded Spyfall,Alliance Game Distributors,$24.99,$19.99
241,The Resistance,Social Deduction,,453,7.19,1.6,Players vote on mission teams without knowing who the spies are. 5–10 in 30 minutes. Cleaner than Werewolf with no elimination.,Team mission social deduction; streamlined format,Alliance Game Distributors,$19.99,$15.99
242,The Thing: Infection at Outpost 31,Social Deduction,,,,,Based on the John Carpenter film. Players investigate while one may be infected. 4–8 in 90 minutes. Atmospheric and tense.,Hidden traitor cooperative; claustrophobic horror,Alliance Game Distributors,$59.99,$47.99
243,Two Rooms and a Boom,Social Deduction,,,,,Two teams in separate rooms negotiate hostage exchanges. 6–30 players. The only published game reliably scaling to very large groups.,Large-group team social deduction; physically active,Alliance Game Distributors,$29.99,$24.99
244,Ultimate Werewolf,Social Deduction,,,,,The full Werewolf experience with many roles for moderator-facilitated games. 5–75 players. Infrastructure for large social deduction events.,Full werewolf with expansion roles,Alliance Game Distributors,$24.99,$19.99
245,Werewords,Social Deduction,,,,,Players ask yes/no questions to guess a magic word — while the werewolf tries to steer them wrong. 4–10 in 10 minutes.,20 Questions meets Werewolf; app-assisted,Alliance Game Distributors,$19.99,$15.99
246,Above and Below,Thematic / Adventure,,420,7.34,2.5,Players build a village above while adventurers explore underground passages read from a storybook. 2–4 in 90 minutes. Unique dual-layer structure.,Village building with underground narrative quests,Alliance Game Distributors,$59.99,$47.99
247,Aeon's End,Thematic / Adventure,,107,7.86,2.8,Players defend a city using breach mages against nemeses. 1–4 in 60–90 minutes. Deep cooperative with no shuffling mechanic.,Cooperative deck-building against breaches and nemeses,Alliance Game Distributors,$49.99,$39.99
248,Arkham Horror: The Card Game,Thematic / Adventure,,32,8.12,3.6,2–4 player cooperative LCG with a persistent narrative campaign. Encourages return visits. The definitive Lovecraft experience in card form.,Campaign LCG in the Lovecraft universe,Asmodee USA Direct,$44.99,$36.99
249,Betrayal at House on the Hill,Thematic / Adventure,,769,7.01,2.4,Horror exploration with a mid-game traitor reveal. 3–6 in 60 minutes. 50 haunts give extraordinary replayability for a single copy.,Haunted house with 50 different scenarios,Asmodee USA Direct,$49.99,$38.99
250,Dead of Winter,Thematic / Adventure,,251,7.44,3.0,Plays 2–5 in 60–120 minutes. Rich narrative crossroads events. Semi-cooperative with a possible traitor. Atmospheric and tense.,Semi-cooperative zombie survival; traitor possible,Alliance Game Distributors,$59.99,$47.99
251,Descent: Legends of the Dark,Thematic / Adventure,,482,7.89,2.7,App-assisted dungeon crawl with app narration. 1–4 in 60–100 minutes. Persistent hero progression across a connected campaign.,App-driven dungeon crawl campaign,Asmodee USA Direct,$174.99,$139.99
252,Dungeon Saga: Dwarf King's Quest,Thematic / Adventure,,,,,Accessible dungeon crawl designed for easy setup. Plays 2–5. Lower complexity than Gloomhaven — bridges casual and hobbyist dungeon-crawl players.,Beginner dungeon crawl; fast setup,Alliance Game Distributors,$59.99,$47.99
253,Dungeons & Dragons: Waterdeep Dragon Heist,Thematic / Adventure,,,,,Board game adaptation of the D&D adventure. 2–5 in 60–120 minutes. Strong IP recognition and accessible RPG-flavored adventure.,D&D campaign lite; accessible entry to RPG adventure,Alliance Game Distributors,$59.99,$47.99
254,Eldritch Horror,Thematic / Adventure,,138,7.74,3.3,Investigators travel the globe sealing gates in a Cthulhu narrative. 1–8 in 120–240 minutes. Best for scheduled longer sessions or all-day events.,Global Cthulhu investigation; massive scope,Asmodee USA Direct,$59.99,$47.99
255,Folklore: The Affliction,Thematic / Adventure,,,,,Players battle dark folklore creatures in a narrative campaign. 1–5 in 60–120 minutes. Unique dark fairy-tale aesthetic.,Dark fantasy cooperative RPG-lite adventure,Alliance Game Distributors,$74.99,$59.99
256,Gloomhaven,Thematic / Adventure,,4,8.54,3.9,1–4 in 60–150 minutes per session. Permanent campaign changes over 95 scenarios. Stocking it is a declaration of seriousness. Store separately and schedule sessions.,The most acclaimed dungeon crawl ever published,Alliance Game Distributors,$140.00,$109.99
257,Gloomhaven: Jaws of the Lion,Thematic / Adventure,,12,8.36,3.6,Streamlined entry to the Gloomhaven universe. 1–4 in 60–90 minutes. Campaign mode encourages return visits. Lower complexity than full Gloomhaven.,Accessible Gloomhaven campaign; dungeon-crawl essentials,Alliance Game Distributors,$49.99,$39.99
258,Legends of Andor,Thematic / Adventure,,673,7.08,2.8,Heroes cooperatively complete quests in the land of Andor. 2–4 in 60–90 minutes. Excellent for groups wanting cooperative narrative adventure.,Cooperative fantasy quest; storybook narrative,Alliance Game Distributors,$49.99,$39.99
259,Mansions of Madness: 2nd Ed.,Thematic / Adventure,,75,7.92,2.7,App handles narrative and monster movement. 1–5 in 120–180 minutes. Stunning cinematic experience for dedicated groups. Reserve for scheduled events.,App-driven Lovecraftian mystery; cinematic,Asmodee USA Direct,$114.99,$89.99
260,Mice and Mystics,Thematic / Adventure,,557,7.20,2.7,Players are heroes turned into mice escaping a castle. 1–4 in 60–90 minutes. Strong narrative structure and charming theme. Best for dedicated groups.,Story-driven mouse RPG; whimsical and accessible,Alliance Game Distributors,$59.99,$47.99
261,Nemesis,Thematic / Adventure,,25,8.25,3.5,Players have personal goals while cooperating against alien intruders on a spaceship. 1–5 in 90–180 minutes. The Alien movie as a board game.,Semi-cooperative alien survival horror,Alliance Game Distributors,$134.99,$109.99
262,Pandemic Legacy: Season 1,Thematic / Adventure,,3,8.50,2.8,The highest-rated cooperative game ever. The legacy experience at its finest. 2–4 players. Purchase as a scheduled event — one café copy per campaign group.,Best campaign co-op ever; consumable copy,Asmodee USA Direct,$79.99,$63.99
263,Robinson Crusoe: Adventures on the Cursed Island,Thematic / Adventure,,119,7.72,3.8,Players build shelter and gather resources on a cursed island. 1–4 in 60–120 minutes. Punishing but deeply rewarding for experienced groups.,Brutal survival cooperative; maximum narrative immersion,Alliance Game Distributors,$59.99,$47.99
264,Runebound 3rd Edition,Thematic / Adventure,,656,7.47,2.7,"Players explore a fantasy world, gain abilities, and face a central threat. 2–4 in 120 minutes. Open narrative structure rewards repeat sessions.",Open-world adventure RPG board game,Asmodee USA Direct,$79.99,$63.99
265,Sleeping Gods,Thematic / Adventure,,71,8.09,3.3,"Players captain a ship in a mysterious open world, reading from an atlas and storybook. 1–4 in 60–120 minutes. Deeply immersive narrative adventure.",Seafaring story campaign; open-world narrative,Alliance Game Distributors,$99.99,$79.99
266,Star Wars: Imperial Assault,Thematic / Adventure,,83,7.95,3.3,Campaign dungeon crawl in the Star Wars universe. 2–5 in 60–120 minutes. Strong IP draw for casual visitors. Plays in skirmish mode for quicker sessions.,Star Wars dungeon-crawl; IP recognition,Asmodee USA Direct,$84.99,$67.99
267,Sword & Sorcery,Thematic / Adventure,,,,,Heroes have souls — when they die they return. 1–5 in 60–90 minutes. Deep campaign structure with accessible dungeon combat.,Solo-friendly dungeon-crawl with soul mechanics,Alliance Game Distributors,$79.99,$63.99
268,Tainted Grail: The Fall of Avalon,Thematic / Adventure,,136,8.03,3.4,Dark retelling of Arthurian legend in solo or cooperative campaign mode. 1–4 in 90–120 minutes. Beautiful production and mature narrative.,Dark Arthurian solo/cooperative campaign,Alliance Game Distributors,$119.99,$95.99
269,Thunderstone Advance,Thematic / Adventure,,,,,Players build decks to delve dungeons in a classic dungeon-deck structure. 1–6 in 45–90 minutes. Accessible theme for Dominion players.,Dungeon deck-building with market phase,Alliance Game Distributors,$49.99,$39.99
270,A Feast for Odin,Heavy Strategy,,27,8.16,3.9,"1–4 players, 30–120 minutes per player. Enormous variety of actions producing a polyomino-driven economy. Uwe Rosenberg's largest game.",Viking exploration and resource management epic,Alliance Game Distributors,$99.99,$79.99
271,Antiquity,Heavy Strategy,,437,7.83,4.3,"2–4 players, 120–240 minutes. One of the most brutal and acclaimed heavy games ever made. Reserved for dedicated hobbyist events.",Medieval city building under extreme resource pressure,Alliance Game Distributors,$79.99,$63.99
272,Ark Nova,Heavy Strategy,,2,8.54,3.8,"BGG rank #2, rating 8.36, weight 3.8. 1–4 in 90–150 minutes. The most acclaimed game of the past three years. Its absence from a serious game café library is conspicuous.",Zoo-building engine builder; BGG rank #2 of all time,Alliance Game Distributors,$74.99,$59.99
273,Arkwright,Heavy Strategy,,850,7.79,4.6,"2–4 players, 150–240 minutes. Hardcore factory management simulation for serious economic gamers. The hardest widely available economic game.",Industrial Revolution economic simulation; hardcore,Alliance Game Distributors,$89.99,$71.99
274,Barrage,Heavy Strategy,,40,8.14,4.1,"1–4 players, 60–120 minutes. Players build and manage hydroelectric dams in an Alpine river system. Cranio Creations' most acclaimed design.",Hydroelectric dam construction; engineering strategy,Alliance Game Distributors,$79.99,$63.99
275,Brass: Birmingham,Heavy Strategy,,1,8.57,3.9,"2–4 players, 60–120 minutes. Network-building economic game in Industrial Revolution England. Owning it signals Merry Meeple is serious about the hobby.",#1 rated game on BGG; industrial hobbyist credential,Alliance Game Distributors,$64.99,$52.99
276,Dominant Species,Heavy Strategy,,113,7.80,4.0,"2–6 players, 2–4 hours. Players control species competing for ecological dominance in an ice age. Deep, confrontational, and thematic.",Ecological dominance; brutal area control,Alliance Game Distributors,$89.99,$71.99
277,Dune: Imperium – Uprising,Heavy Strategy,,5,8.70,3.5,"BGG rank #5, rating 8.23, weight 3.5. 1–6 in 60–120 minutes. Standalone sequel also combinable with base Dune: Imperium. Six-player support makes it a strong event anchor.",Standalone Dune: Imperium sequel; BGG rank #5,Alliance Game Distributors,$74.99,$59.99
278,Food Chain Magnate,Heavy Strategy,,49,8.04,4.2,"2–5 players, 2–4 hours. Ruthless fast-food empire simulation. Loved by hardcore hobbyists. High candidate for the rules assistant.",Brutal economic simulation; top hobbyist title,Alliance Game Distributors,$99.99,$79.99
279,Kanban EV,Heavy Strategy,,45,8.38,4.3,"2–4 players, 120–180 minutes. Manage an electric vehicle factory with ruthless efficiency. Designed by Vital Lacerda.",Automobile factory management; precise and punishing,Alliance Game Distributors,$89.99,$71.99
280,Mage Knight: Ultimate Edition,Heavy Strategy,,39,8.08,4.4,"1–4 players, 2–4 hours. Among the most complex and rewarding games ever made. The ultimate single-player café challenge.",Solo/cooperative RPG exploration; legendary complexity,Alliance Game Distributors,$99.99,$79.99
281,Paths of Glory,Heavy Strategy,,262,8.07,3.9,"2 players, 3–5 hours. Definitive WWI simulation. For dedicated wargamers. Signals the library serves serious historical strategy players.",WWI card-driven wargame; historical depth,Alliance Game Distributors,$59.99,$47.99
282,Pax Renaissance,Heavy Strategy,,835,7.96,4.5,"2–4 players, 90–180 minutes. Players control trading houses in the Renaissance world. Highly complex card-driven political simulation.",Renaissance political simulation; complex card interplay,Alliance Game Distributors,$79.99,$63.99
283,Spirit Island: Jagged Earth,Heavy Strategy,,,,,Adds six spirits and major mechanics expanding Spirit Island substantially. Essential for regular Spirit Island groups who want more.,Expands Spirit Island to near-infinite complexity,Alliance Game Distributors,$65.00,$51.99
284,The Gallerist,Heavy Strategy,,81,8.00,4.2,"1–4 players, 60–150 minutes. Manage an art gallery acquiring and selling art. Another Vital Lacerda masterwork for serious hobbyists.",Art gallery management; Vital Lacerda economic game,Alliance Game Distributors,$79.99,$63.99
285,Through the Ages: A New Story of Civilization,Heavy Strategy,,18,8.25,4.4,"2–4 players, 2–4 hours. One of the highest-rated games ever made. For groups ready for a full session commitment.",Civilization card game; extraordinary strategic depth,Alliance Game Distributors,$69.99,$54.99
286,Twilight Imperium 4th Edition,Heavy Strategy,,7,8.56,4.4,"3–6 players, 4–8 hours. The most ambitious board game ever published. Stocking it is a statement. Anchor for occasional epic Saturday event sessions.",Epic space opera; the ultimate prestige game,Asmodee USA Direct,$159.99,$129.99
287,Twilight Struggle,Heavy Strategy,,14,8.23,3.6,"2 players, 2–3 hours. The definitive two-player strategy game. Every serious hobbyist knows it. Schedule as an event for dedicated pairs.",Cold War card-driven game; former #1 on BGG,Alliance Game Distributors,$59.99,$47.99
288,War of the Ring: 2nd Edition,Heavy Strategy,,,,,"2–4 players, 3–5 hours. The definitive tabletop adaptation of Middle-earth. For scheduled sessions only — too long and complex for drop-in play.",Tolkien epic; definitive Lord of the Rings game,Alliance Game Distributors,$109.99,$87.99
289,Cosmic Encounter,Heavy Strategy,,38,8.00,2.5,Combines base Wingspan with all major expansions. For Wingspan enthusiasts who've mastered the base game and want everything in one box.,All-in-one Wingspan collection; serious commitment,Alliance Game Distributors,$180.00,$149.99
290,Animal upon Animal,Kids,,,,,Ages 4+. Players stack wooden animals in a balancing challenge. Develops fine motor skills. Very durable HABA components survive café use.,HABA stacking dexterity game for ages 4+,Publisher Direct,$24.99,$19.99
291,Catan Junior,Kids,,,,,Ages 6+. Simplified Catan with ghost pirates. Teaches resource trading and building. 2–4 in 30–60 minutes. The best gateway for children to Catan.,Pirate-themed Catan for ages 6+,Asmodee USA Direct,$39.99,$31.99
292,Concept Kids: Animals,Kids,,,,,Ages 4+. One player uses symbols to help others guess an animal — no words or drawing. Completely non-verbal. Plays 2–12 in 20 minutes.,Non-verbal animal guessing for ages 4+,Asmodee USA Direct,$24.99,$19.99
293,Don't Break the Ice,Kids,,,,,Ages 3+. Players tap ice blocks without letting the polar bear fall. 2–4 in 10 minutes. Brand recognition with parents. Very low rules barrier.,Classic ice-tapping dexterity game; ages 3+,Alliance Game Distributors,$14.99,$11.99
294,Dragon's Breath,Kids,,,,,Ages 5+. Players draw rings from a dragon stack to collect gem chips. Brilliant visual spectacle that attracts children immediately. HABA quality.,HABA game for ages 5+; gem-sparkling spectacle,Publisher Direct,$29.99,$23.99
295,Hoot Owl Hoot,Kids,,,,,Ages 4+. Cooperative game helping owls fly home before sunrise. Very gentle cooperative introduction for very young players. 2–4 in 15 minutes.,Cooperative owl-flying for ages 4+,Alliance Game Distributors,$19.99,$15.99
296,Monza,Kids,,,,,Ages 5+. Players race cars by matching dice colors to board spaces. 2–6 in 15 minutes. HABA quality — extremely durable. Casey-specific personal pick.,HABA racing car dice game; ages 5+,Publisher Direct,$29.99,$24.99
297,My First Orchard (HABA),Kids,,,,,Ages 2+. Cooperative fruit-harvesting against a raven. Zero competition — perfect for the youngest café visitors. HABA quality is exceptional.,Best cooperative game for ages 2+,Publisher Direct,$19.99,$16.99
298,Mysterium Kids: Captain Echo's Treasure,Kids,,,,,Ages 6+. Cooperative ghost-sound communication. Very accessible introduction to deduction and cooperative play. 2–6 in 20 minutes.,Ghost communication for ages 6+,Asmodee USA Direct,$24.99,$19.99
299,Operation,Kids,,,,,Ages 6+. Remove ailments without touching the sides. 1–6 in 20 minutes. Universally recognized. The buzz when you fail is a crowd moment.,Classic surgery dexterity game; every kid knows it,Alliance Game Distributors,$19.99,$15.99
300,Outfoxed!,Kids,,,,,"2–4 players, age 5+, 20 minutes. Kids work together to catch a fox. True cooperative mechanics in a completely accessible format. GameWright quality.",Best cooperative game for ages 5+,Alliance Game Distributors,$24.99,$19.99
301,Sleeping Queens,Kids,,,,,"2–5 players, age 5+, 20 minutes. Teaches addition and strategy in a fairy-tale wrapper. Light enough for young children, interesting enough for adults playing with them.",Card game with arithmetic for ages 5+,Alliance Game Distributors,$14.99,$12.99
302,Spot It! Kids,Kids,,,,,Ages 3+. Uses larger symbols and simpler card design than original Spot It!. Plays 2–5 in 10 minutes. Easy bridge from toddler to standard Spot It!.,Speed-matching for very young players,Asmodee USA Direct,$14.99,$11.99
303,Unicorn Glitterluck,Kids,,,,,Ages 3+. Cooperative cloud-crossing unicorn race. HABA's gentle introduction to cooperative games for very young players. No reading required.,HABA cooperative for ages 3+,Publisher Direct,$19.99,$16.99
304,7 Wonders Duel,Two-Player,,24,8.08,2.2,30–45 minute two-player adaptation of 7 Wonders. Cited by many as the best pure two-player game in the hobby. Essential for date-night visits.,Best two-player game ever designed; 30 minutes,Asmodee USA Direct,$34.99,$27.99
305,Agricola: All Creatures Big and Small,Two-Player,,451,7.33,2.4,Players develop farms without the food pressure of Agricola. 2 players in 30–45 minutes. Gentler introduction to worker placement.,Two-player farming; Agricola without the stress,Asmodee USA Direct,$39.99,$31.99
306,Battle Line,Two-Player,,330,7.41,1.9,Players form 9 flag battles using poker-hand logic. 2 players in 20–30 minutes. Classic Knizia game of risk assessment.,Ancient battle formation card game; tense,Alliance Game Distributors,$19.99,$15.99
307,Caverna: Cave vs. Cave,Two-Player,,940,7.08,2.6,Players develop cave systems in competition. 2 players in 30–40 minutes. Accessible introduction to Uwe Rosenberg's cave-farming system.,Two-player Caverna; cave development competition,Asmodee USA Direct,$39.99,$31.99
308,Codenames: Duet,Two-Player,,274,7.41,1.4,Cooperative Codenames for exactly 2. Mission-based structure creates a campaign arc. Plays 2 in 15–30 minutes. Standout two-player word game.,Cooperative two-player Codenames; missions and timer,Alliance Game Distributors,$19.99,$15.99
309,Fugitive,Two-Player,,,,,Marshal chases a fugitive through hidden card placement. 2 players in 20–30 minutes. Very tense asymmetric deduction in a small package.,Hidden number deduction chase game,Alliance Game Distributors,$19.99,$15.99
310,Hanamikoji,Two-Player,,282,7.45,1.7,Players compete for geisha favor through limited action selection. 2 players in 15 minutes. Phenomenally tense for such a simple ruleset.,Geisha favor game; pure tension in 15 minutes,Alliance Game Distributors,$19.99,$15.99
311,Hive Pocket,Two-Player,,333,7.32,2.3,Pure abstract strategy where insect tiles are placed and moved. Plays 2 in 20 minutes. Travel-sized. No board — the tiles create the game.,"Abstract insect game; no board, no luck",Alliance Game Distributors,$19.99,$15.99
312,Jaipur,Two-Player,,201,7.48,1.5,Players trade goods to fulfill profitable contracts. 2 players in 30 minutes. One of the most acclaimed two-player games. Excellent for couples and paired strangers.,Fast merchant trading game; perennial 2-player favorite,Alliance Game Distributors,$34.99,$27.99
313,Lost Cities,Two-Player,,343,7.26,1.5,Players start expeditions to earn points — but committed expeditions must perform. 2 players in 30 minutes. A Knizia classic of risk and reward.,Classic two-player expedition card game,Alliance Game Distributors,$24.99,$19.99
314,Mandala,Two-Player,,560,7.43,1.8,Players compete for colored sets in a central mandala pattern. 2 players in 30 minutes. Abstract and visually striking.,Set-collection with shared color control,Alliance Game Distributors,$29.99,$23.99
315,Mr. Jack Pocket,Two-Player,,,,,Inspector chases Jack the Ripper across Victorian London. 2 players in 20 minutes. Excellent asymmetric two-player design in a small box.,Hidden-identity investigative game; compact format,Asmodee USA Direct,$19.99,$15.99
316,Onitama,Two-Player,,356,7.34,1.7,Players move pieces using shared movement cards. 2 players in 15–20 minutes. Completely deterministic and deeply strategic. New card combinations each game.,Abstract martial arts chess variant; deterministic,Alliance Game Distributors,$29.99,$23.99
317,Patchwork,Two-Player,,146,7.58,1.6,"Tetris-like quilt-building for exactly 2 players. Teaches in 3 minutes, plays in 15–30. Perfect for couples or strangers pairing up.",Elegant quilt-building abstract; 15–30 minutes,Alliance Game Distributors,$29.99,$23.99
318,Splendor Duel,Two-Player,,112,7.88,2.0,Two-player Splendor with a shared grid and new mechanics. 2 players in 30 minutes. More tense and interactive than base Splendor.,Splendor for exactly two; deeper and more tense,Asmodee USA Direct,$34.99,$27.99
319,Star Realms,Two-Player,,174,7.55,1.9,Players build space fleets to destroy each other's authority. 2 players in 20 minutes. The best small-box deck-builder for two.,Deck-building space combat; small box,Alliance Game Distributors,$14.99,$11.99
320,The Fox in the Forest,Two-Player,,683,7.06,1.6,Trick-taking game with fairy-tale characters and special powers. 2 players in 30 minutes. The best two-player trick-taking game available.,Fairy-tale trick-taking for two,Alliance Game Distributors,$14.99,$11.99
321,Tides of Time,Two-Player,,,,,Players draft and score civilization cards across three rounds. 2 players in 20 minutes. Excellent shorter two-player option.,Civilization card drafting in 20 minutes,Alliance Game Distributors,$14.99,$11.99
322,Undaunted: Normandy,Two-Player,,180,7.77,2.3,Two-player WWII tactical combat using deck-building to represent fog of war. 2 players in 45–75 minutes. Excellent gateway to wargames.,WWII deck-building wargame; tense and accessible,Alliance Game Distributors,$34.99,$27.99
323,Bananagrams,Word / Trivia / Dex,,,,,"Zero setup, plays 1–8 in 15 minutes. High-margin game in a durable pouch. Accessible to non-gamers and great for solo visitors.",Self-contained word tile game; zero setup,Alliance Game Distributors,$14.99,$12.99
324,Bezzerwizzer,Word / Trivia / Dex,,,,,Teams answer trivia but can steal categories and exchange questions. 2–4 teams in 45–60 minutes. Strategy layer makes trivia feel fairer.,Team trivia with strategic swapping; competitive,Alliance Game Distributors,$29.99,$23.99
325,Boggle,Word / Trivia / Dex,,,,,3-minute timed word-finding. Plays any number simultaneously. Very fast turnaround. Excellent filler between longer games.,Timed word-finding in a letter grid; 3 minutes,Alliance Game Distributors,$14.99,$11.99
326,Codex Naturalis,Word / Trivia / Dex,,903,7.22,1.8,Players place illustrated manuscript cards to create a valid tableau. 2–4 in 20–40 minutes. Stunning medieval manuscript aesthetic — perfect for Dark Academia.,Illuminated manuscript card-placement game,Alliance Game Distributors,$24.99,$19.99
327,Crokinole,Word / Trivia / Dex,,46,8.07,1.2,Players flick discs toward the center hole. 2–4 in 20–30 minutes. Generates a crowd. Premium $150+ boards are worth the investment for visual appeal.,Classic disc-flicking dexterity board; crowd attraction,Publisher Direct,$159.99,$149.99
328,Dixit Jinx,Word / Trivia / Dex,,,,,Two teams race to identify Dixit cards matching a spoken word. 3–12 in 20 minutes. Leverages the Dixit art for a faster party experience.,Two-team reaction game using Dixit cards,Asmodee USA Direct,$24.99,$19.99
329,Klask,Word / Trivia / Dex,,257,7.62,1.0,"2-player magnetic game. Generates spectators and social media moments. Durable, fast to reset, visually striking.",Magnetic tabletop air hockey; crowd-draw visual,Alliance Game Distributors,$79.99,$64.99
330,Letter Tycoon,Word / Trivia / Dex,,,,,"Players patent letters they use frequently, earning royalties from other players. 2–5 in 30–60 minutes. Unique economic layer on a word game.",Word game with patent monopolies; economic twist,Alliance Game Distributors,$39.99,$31.99
331,Paperback,Word / Trivia / Dex,,743,7.09,2.0,Players build decks of letter cards to form words. Plays 2–5 in 45–60 minutes. Unique combination of word game and deck-building.,Word-forming deck-builder; Scrabble meets Dominion,Alliance Game Distributors,$39.99,$31.99
332,Perquacky,Word / Trivia / Dex,,,,,Players form words from rolled letter dice against a timer. Solo or group play. Very accessible word game for casual visitors.,Classic timed word-forming dice game,Alliance Game Distributors,$19.99,$15.99
333,Qwirkle,Word / Trivia / Dex,,,,,Players match colors and shapes in Scrabble-style lines. 2–4 in 45 minutes. Completely language-free and very accessible.,Color-and-shape matching tile game; language-free Scrabble,Alliance Game Distributors,$34.99,$27.99
334,Scrabble,Word / Trivia / Dex,,,,,Plays 2–4 in 45–90 minutes. The brand recognition alone earns shelf space. Stock for visitors who specifically request a word tile game.,Definitive word tile game; universally recognized,Alliance Game Distributors,$19.99,$15.99
335,Ticket to Ride: Rails and Sails,Word / Trivia / Dex,,806,7.43,2.5,"The largest and most ambitious Ticket to Ride map. 2–5 players, 60–90 minutes. For dedicated Ticket to Ride groups who want the complete experience.",Giant Ticket to Ride combining trains and ships,Asmodee USA Direct,$79.99,$63.99
336,Word Slam,Word / Trivia / Dex,,,,,One player uses category cards to describe a word without speaking or drawing. 2–8 in 30 minutes. Very fast and accessible.,Team synonym guessing with category cards,Alliance Game Distributors,$24.99,$19.99
337,Buffalo Games: NYC Skyline at Night (500pc),Puzzles,★,,,,Buffalo Games 500-piece New York City skyline at night. High-contrast dramatic image. 2–3 hours. Strong visual impact when assembled.,NYC skyline at night; dramatic and recognizable,Alliance Game Distributors,$14.99,$11.99
338,Galison: Brooklyn (500pc),Puzzles,★,,,,Galison 500-piece Brooklyn-themed illustrated puzzle. Speaks directly to the neighborhood identity of The Merry Meeple's location in Bed-Stuy.,Brooklyn-themed illustrated puzzle; hyperlocal identity,Publisher Direct,$22.00,$22.00
339,New York Puzzle Co: Brooklyn Bridge (500pc),Puzzles,★,,,,NYPC 500-piece illustrated Brooklyn Bridge. The defining landmark adjacent to the café's neighborhood. 2–3 hour completion. NYPC signature illustration quality.,Premium illustrated Brooklyn Bridge; defining local landmark,Publisher Direct,$22.00,$22.00
340,New York Puzzle Co: Brooklyn Neighborhoods (500pc),Puzzles,★,,,,"NYPC 500-piece illustrated Brooklyn neighborhood map. Bed-Stuy, Bushwick, Crown Heights — the neighborhood detail resonates directly with local customers.",Brooklyn-specific neighborhood map; hyperlocal,Publisher Direct,$22.00,$22.00
341,New York Puzzle Co: Central Park (500pc),Puzzles,★,,,,NYPC 500-piece aerial illustrated Central Park. Beautiful green-on-city contrast. 2–3 hours. Consistent NYPC quality and strong brand identity.,Aerial illustrated Central Park; recognizable NYC landmark,Publisher Direct,$22.00,$22.00
342,New York Puzzle Co: Coney Island Vintage Poster (500pc),Puzzles,★,,,,NYPC 500-piece vintage Coney Island amusement park poster. Classic Brooklyn summer nostalgia. Conversation starter for locals and tourists alike.,Vintage Coney Island poster; classic Brooklyn nostalgia,Publisher Direct,$22.00,$22.00
